file,benchmark,suite,input_size,threads,real_sec,user_sec,sys_sec,cpu_util,COMPUTETIME,TRACKTIME
barnes_run1.txt,barnes,splash2x,native,1,106.984,106.005,0.971,0.991,106131232,52063520
barnes_run2.txt,barnes,splash2x,native,2,53.99,106.081,0.674,1.965,53193477,26087804
barnes_run4.txt,barnes,splash2x,native,4,28.108,106.951,0.575,3.805,27321785,13241241
barnes_run8.txt,barnes,splash2x,native,8,22.015,164.42,0.661,7.469,21237360,10323935
blackscholes_run1.txt,blackscholes,parsec,native,1,64.265,63.412,0.846,0.987,,
blackscholes_run2.txt,blackscholes,parsec,native,2,37.829,63.455,0.874,1.677,,
blackscholes_run4.txt,blackscholes,parsec,native,4,24.576,63.661,0.8,2.59,,
blackscholes_run8.txt,blackscholes,parsec,native,8,20.907,87.365,0.745,4.179,,
canneal_run1.txt,canneal,parsec,native,1,210.754,210.014,0.724,0.996,,
canneal_run2.txt,canneal,parsec,native,2,134.539,226.748,0.909,1.685,,
canneal_run4.txt,canneal,parsec,native,4,90.974,231.695,1.004,2.547,,
canneal_run8.txt,canneal,parsec,native,8,65.476,246.339,1.341,3.762,,
freqmine_run1.txt,freqmine,parsec,native,1,329.297,328.591,0.678,0.998,,
freqmine_run2.txt,freqmine,parsec,native,2,165.249,328.034,0.88,1.985,,
freqmine_run4.txt,freqmine,parsec,native,4,84.105,330.93,0.913,3.935,,
freqmine_run8.txt,freqmine,parsec,native,8,65.483,508.642,1.197,7.768,,
radix_run1.txt,radix,splash2x,native,1,33.257,30.537,2.719,0.918,,
radix_run2.txt,radix,splash2x,native,2,16.892,30.737,2.53,1.82,,
radix_run4.txt,radix,splash2x,native,4,8.773,30.913,2.612,3.524,,
radix_run8.txt,radix,splash2x,native,8,5.197,34.788,3.021,6.694,,
streamcluster_run1.txt,streamcluster,parsec,native,1,504.082,503.966,0.066,1.0,,
streamcluster_run2.txt,streamcluster,parsec,native,2,282.308,547.881,0.624,1.941,,
streamcluster_run4.txt,streamcluster,parsec,native,4,141.867,540.416,1.107,3.809,,
streamcluster_run8.txt,streamcluster,parsec,native,8,109.019,813.916,3.116,7.466,,
vips_run1.txt,vips,parsec,native,1,60.708,60.776,2.533,1.001,,
vips_run2.txt,vips,parsec,native,2,30.821,61.546,2.164,1.997,,
vips_run4.txt,vips,parsec,native,4,21.638,85.393,3.832,3.946,,
vips_run8.txt,vips,parsec,native,8,19.543,141.905,7.896,7.261,,
