benchmark,threads,real_sec,user_sec,cpu_util,speedup_vs_1t
barnes,1,106.984,106.005,0.991,1.0
barnes,2,53.99,106.081,1.965,1.982
barnes,4,28.108,106.951,3.805,3.806
barnes,8,22.015,164.42,7.469,4.86
blackscholes,1,64.265,63.412,0.987,1.0
blackscholes,2,37.829,63.455,1.677,1.699
blackscholes,4,24.576,63.661,2.59,2.615
blackscholes,8,20.907,87.365,4.179,3.074
canneal,1,210.754,210.014,0.996,1.0
canneal,2,134.539,226.748,1.685,1.566
canneal,4,90.974,231.695,2.547,2.317
canneal,8,65.476,246.339,3.762,3.219
freqmine,1,329.297,328.591,0.998,1.0
freqmine,2,165.249,328.034,1.985,1.993
freqmine,4,84.105,330.93,3.935,3.915
freqmine,8,65.483,508.642,7.768,5.029
radix,1,33.257,30.537,0.918,1.0
radix,2,16.892,30.737,1.82,1.969
radix,4,8.773,30.913,3.524,3.791
radix,8,5.197,34.788,6.694,6.399
streamcluster,1,504.082,503.966,1.0,1.0
streamcluster,2,282.308,547.881,1.941,1.786
streamcluster,4,141.867,540.416,3.809,3.553
streamcluster,8,109.019,813.916,7.466,4.624
vips,1,60.708,60.776,1.001,1.0
vips,2,30.821,61.546,1.997,1.97
vips,4,21.638,85.393,3.946,2.806
vips,8,19.543,141.905,7.261,3.106
